Opzione,Valori Possibili,Costo Opzione,Macchine Compatibili,Vincoli,Posizioni Ammesse,Tipo Opzione
Telecamera lineare,"Cognex, Dimac",{},"MCV1,MCV3,MCV4","{""MCV1"": [""Cognex"", ""Dimac""], ""MCV3"": [""Cognex"", ""Dimac""], ""MCV4"": [""Cognex"", ""Dimac""]}","{""MCV1"": [""2"", ""3"", ""4""], ""MCV3"": [""3"", ""4""], ""MCV4"": [""3"", ""4""]}",Stazione
Computer,"Standard, AI",,"MCV0,MCV1,MCV3,MCV4,MCV5,MCV6","{""MCV0"": [""Standard""], ""MCV1"": [""Standard"", ""AI""], ""MCV2"": [""Standard""], ""MCV2XTR"": [""Standard""], ""MCV3"": [""Standard"", ""AI""], ""MCV4"": [""Standard"", ""AI""], ""MCV5"": [""Standard""], ""MCV6"": [""Standard"", ""AI""]}",,Globale
Dischi trasporto 20 MCV0,Seleziona,,MCV0,"{""MCV0"": [""Seleziona""]}",,Globale
Dischi trasporto 10 MCV1,Seleziona,,MCV1,"{""MCV1"": [""Seleziona""]}",,Globale
Dischi trasporto 10 MCV3,Seleziona,,MCV3,"{""MCV3"": [""Seleziona""]}",,Globale
Dischi trasporto 10 MCV4,Seleziona,,MCV4,"{""MCV4"": [""Seleziona""]}",,Globale
Dischi trasporto 20 MCV1,Seleziona,,MCV1,"{""MCV1"": [""Seleziona""]}",,Globale
Dischi trasporto 20 MCV3,Seleziona,,MCV3,"{""MCV3"": [""Seleziona""]}",,Globale
Dischi trasporto 30 MCV4,Seleziona,,MCV4,"{""MCV4"": [""Seleziona""]}",,Globale
Dischi trasporto 40 MCV1,Seleziona,,MCV1,"{""MCV1"": [""Seleziona""]}",,Globale
Dischi trasporto 40 MCV3,Seleziona,,MCV3,"{""MCV3"": [""Seleziona""]}",,Globale
Dischi trasporto 50 MCV4,Seleziona,,MCV4,"{""MCV4"": [""Seleziona""]}",,Globale
Dischi trasporto 70 MCV4,Seleziona,,MCV4,"{""MCV4"": [""Seleziona""]}",,Globale
Dischi trasporto 40 MCV0,Seleziona,,MCV0,"{""MCV0"": [""Seleziona""]}",,Globale
