Stazione,Opzioni Selezionate
punto_0_ore_3,(nessuna opzione selezionata)
stazione_1,(nessuna opzione selezionata)
stazione_2,IBG: Cricche 1 sonda
stazione_3,Illuminatore: Standard Ø100
stazione_4,(nessuna opzione selezionata)
stazione_5,(nessuna opzione selezionata)
sensore,(nessuna opzione selezionata)
uscita_1,(nessuna opzione selezionata)
uscita_2,(nessuna opzione selezionata)
